Node          U1          U2          U3
450 0.00119853 -0.00157634 4.0267e-05
451 0.00123931 -0.00191182 3.2559e-05
452 0.00124599 -0.00221568 2.78918e-05
453 -0.000232498 -9.37032e-05 3.52531e-05
454 -0.000443631 -0.00020589 6.05852e-05
455 -0.000642395 -0.000365132 7.16166e-05
456 -0.000835091 -0.000566719 7.80089e-05
457 -0.00102793 -0.00081032 8.22597e-05
458 -0.00123097 -0.00109727 8.63204e-05
459 -0.00145932 -0.00143785 9.08391e-05
460 -0.00173002 -0.00185767 9.58734e-05
461 -0.00205301 -0.00239843 0.000100577
462 -0.000234524 -9.88018e-05 2.06392e-05
463 -0.000440484 -0.000217371 3.67401e-05
464 -0.000640235 -0.000378718 4.68324e-05
465 -0.000834653 -0.000582432 5.2084e-05
466 -0.00102939 -0.00082806 5.53845e-05
467 -0.00123436 -0.00111758 5.78609e-05
468 -0.00146461 -0.00146159 6.00498e-05
469 -0.00173675 -0.00188585 6.20385e-05
470 -0.00206012 -0.00243162 6.37399e-05
471 -0.000235746 -0.000101403 9.67213e-06
472 -0.00044149 -0.000222652 1.73636e-05
473 -0.000640106 -0.000386536 2.27166e-05
474 -0.00083501 -0.000591572 2.58789e-05
475 -0.0010308 -0.000838447 2.76514e-05
476 -0.00123699 -0.00112921 2.87838e-05
477 -0.00146836 -0.0014746 2.95469e-05
478 -0.00174133 -0.00190045 3.00524e-05
479 -0.002065 -0.00244807 3.03596e-05
480 -0.000236365 -0.000102217 1.13784e-17
481 -0.000441896 -0.000224359 2.26948e-17
482 -0.000640403 -0.000388939 3.46265e-17
483 -0.000835247 -0.000594582 4.75939e-17
484 -0.00103134 -0.000841825 6.01902e-17
485 -0.0012379 -0.00113295 7.3544e-17
486 -0.00146963 -0.0014787 8.8361e-17
487 -0.00174286 -0.00190495 1.03268e-16
488 -0.00206661 -0.00245302 1.21116e-16
489 -0.000235746 -0.000101403 -9.67213e-06
490 -0.00044149 -0.000222652 -1.73636e-05
491 -0.000640106 -0.000386536 -2.27166e-05
492 -0.00083501 -0.000591572 -2.58789e-05
493 -0.0010308 -0.000838447 -2.76514e-05
494 -0.00123699 -0.00112921 -2.87838e-05
495 -0.00146836 -0.0014746 -2.95469e-05
496 -0.00174133 -0.00190045 -3.00524e-05
497 -0.002065 -0.00244807 -3.03596e-05
498 -0.000234524 -9.88018e-05 -2.06392e-05
499 -0.000440484 -0.000217371 -3.67401e-05
500 -0.000640235 -0.000378718 -4.68324e-05
501 -0.000834653 -0.000582432 -5.2084e-05
